U_OldCode;CardName;CardType;CardFName;Type;Series;GroupCode;CreditLimit;U_locktimeout;FederalTaxID;MailAddress;Outlet;Address;Delivery Route
A104.002;KUSUMA CATERING;cCustomer;KUSUMA CATERING;Catering;804;103;5000000;7;0.0000.00000.00000.;Jl. Raya Tawangmangu-Sarangan Kilometer 9. Bulakrejo RT 3 RW 6 Gondosuli Kidul Gondosuli Kec. Tawangmangu Kabupaten Karanganyar;KOPI PAK NO;Jl. Raya Tawangmangu-Sarangan Kilometer 9. Bulakrejo RT 3 RW 6 Gondosuli Kidul Gondosuli Kec. Tawangmangu Kabupaten Karanganyar;
A102.332;KUSUMA SARI;cCustomer;KUSUMA SARI;Catering;804;103;5000000;7;0.0000.00000.00000.;Jl. Kalitan No.6B, Penumping, Laweyan, Surakarta;KOPI SI BUDI;Jl. Kalitan No.6B, Penumping, Laweyan, Surakarta;
A104.003;MARIAM CATERING SOLO;cCustomer;MARIAM CATERING SOLO;Catering;804;103;1000000;14;0.0000.00000.00000.;"Setabelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57133
 (SAMPING PASAR LEGI)";MAHALAYA;"Setabelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57133
 (SAMPING PASAR LEGI)";
A104.004;NIKMAT RASA CATERING;cCustomer;NIKMAT RASA CATERING;Catering;804;103;1000000;7;55.414.101.0-532.000;JL.MAWAR 3 NO 11A SIDOREJO JANTEN KARANGANYAR;NGOPI SERIUS;JL.MAWAR 3 NO 11A SIDOREJO JANTEN KARANGANYAR;
A102.001;SARI ROSO;cCustomer;SARI ROSO;Catering;804;103;5000000;28;31.594.040.3-526.000;Sala View HotelJL. SLAMET RIYADI NO.450 RT 02 RW 13 PURWOSARI, LAWEYAN, SURAKARTA;PT PANCA WIBAWA UTAMA;Sala View HotelJL. SLAMET RIYADI NO.450 RT 02 RW 13 PURWOSARI, LAWEYAN, SURAKARTA;
A104.006;SUNNY CATERING;cCustomer;SUNNY CATERING;Catering;804;103;5000000;0;0.0000.00000.00000.;Jl. Palagan Tentara Pelajar No. 106, Kel. Sari Harjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta;SUGAR KARAOKE;Jl. Palagan Tentara Pelajar No. 106, Kel. Sari Harjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta;
A102.27;TSABITA JASA BOGA;cCustomer;TSABITA JASA BOGA;Catering;804;103;3000000;7;0.0000.00000.00000.;SOLO;THOMAS;SOLO;
A104.007;TULAS CATERING;cCustomer;TULAS CATERING;Catering;804;103;10000000;0;0.0000.00000.00000.;"Jl. Jend. Urip Sumoharjo No.94 
 Purwodiningratan Kec. Jebres 
 Kota Surakarta";TIMLO SOLO;"Jl. Jend. Urip Sumoharjo No.94 
 Purwodiningratan Kec. Jebres 
 Kota Surakarta";
A106.006;AZKAYRA FROZEN;cCustomer;AZKAYRA FROZEN;Distributor;811;110;3000000;30;0.0000.00000.00000.;BANDARA ADI SUMARMODAERAH GAGAK SIPAT;AZHIMA Hotel BANDARA;BANDARA ADI SUMARMODAERAH GAGAK SIPAT;
A106.007;BANDAR AA;cCustomer;BANDAR AA;Distributor;811;110;300000;14;0.0000.00000.00000.;"JL. HONGGOWONGSO NO.29 
 (SEBELAH AM PM RESTO) 
 SOLO";BAKE IT;"JL. HONGGOWONGSO NO.29 
 (SEBELAH AM PM RESTO) 
 SOLO";
A114.01;BEANS AND CO;cCustomer;BEANS AND CO;Distributor;811;110;3000000;28;0.0000.00000.00000.;Jl. Dr. Radjiman No.392, Laweyan, Kota Surakarta, Jawa Tengah 57141;BARON INDAH Hotel;Jl. Dr. Radjiman No.392, Laweyan, Kota Surakarta, Jawa Tengah 57141;
A106.012;BEEF BRO MEATSHOP SOLO;cCustomer;BEEF BRO MEATSHOP SOLO;Distributor;811;110;10000000;0;0.0000.00000.00000.;Purwosari, Laweyan, Surakarta;BBQIU;Purwosari, Laweyan, Surakarta;
A106.015;JAKA MEATSHOP;cCustomer;JAKA MEATSHOP;Distributor;811;110;5000000;14;02.768.734.2-512.000;SOLO SQUARE Lt.2JL. SLAMET RIYADI NO.451-455, SOLO;CV. SAPTA BHARATA PRIMA;SOLO SQUARE Lt.2JL. SLAMET RIYADI NO.451-455, SOLO;
A106.013;DUTA RASA MEATSHOP;cCustomer;DUTA RASA MEATSHOP;Distributor;811;110;5000000;0;0.0000.00000.00000.;JLN. YOS SUDARSO 323BDANUKUSUMAN, SERENGAN SOLO 57139;D's DINNER CAFE & RESTO;JLN. YOS SUDARSO 323BDANUKUSUMAN, SERENGAN SOLO 57139;
A104.001;DHAMA ALILA;cCustomer;DHAMA ALILA;Distributor;811;110;8000000;0;0.0000.00000.00000.;JL. SLAMET RIYADI NO. 54 BSOLO;De SOLO;JL. SLAMET RIYADI NO. 54 BSOLO;
A102.067;DEVORA DIARY;cCustomer;DEVORA DIARY;Distributor;811;110;5000000;0;0.0000.00000.00000.;"JL.PATMO NEGORO NO.29 
 100METER SEBELUM LUES GADING BELOK KANAN";DEPOT MURNI;"JL.PATMO NEGORO NO.29 
 100METER SEBELUM LUES GADING BELOK KANAN";
A106.025;GUN FROZEN FOOD;cCustomer;GUN FROZEN FOOD;Distributor;811;110;2000000;7;0.0000.00000.00000.;GRINGO'S CAFEJL. RONGGOWARSITO NO. 5 CSOLO;GRINGO;GRINGO'S CAFEJL. RONGGOWARSITO NO. 5 CSOLO;
A106.014;INDOCOW MEATSHOP;cCustomer;INDOCOW MEATSHOP;Distributor;811;110;10000000;0;0.0000.00000.00000.;Jl. Haryo Panular No.48, Panularan, Laweyan, Panularan, Laweyan;IELC;Jl. Haryo Panular No.48, Panularan, Laweyan, Panularan, Laweyan;
A106.004;JURAGAN FROZEN (MBA NINIS);cCustomer;JURAGAN FROZEN (MBA NINIS);Distributor;811;110;5000000;30;0.0000.00000.00000.;Jl. Moh. Husni Thamrin No.7, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57143;JEJU AYCE;Jl. Moh. Husni Thamrin No.7, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57143;
A102.167;MADJA (CV. TIGA PILLAR SEJATI);cCustomer;CV. TIGA PILLAR SEJATI;Distributor;811;110;20000000;30;0.0000.00000.00000.;MENARA ONE BILDING JL. KEDEN , HONGGOBAYAN , PABELAN, KEC , KARTOSURO;LUX CAFE;MENARA ONE BILDING JL. KEDEN , HONGGOBAYAN , PABELAN, KEC , KARTOSURO;
A106.002;MARTHA FOOD;cCustomer;MARTHA FOOD;Distributor;811;110;2000000;30;0.0000.00000.00000.;Pined Perigee, Jl. Dr. Rajiman No.234, Kemlayan, Kec. Serengan, Kota Surakarta,;MAKAN DAGING;Pined Perigee, Jl. Dr. Rajiman No.234, Kemlayan, Kec. Serengan, Kota Surakarta,;
A106.028;SUNRISE MEATSHOP & SUPLIYER;cCustomer;SUNRISE MEATSHOP & SUPLIYER;Distributor;811;110;5000000;14;26.292.771.8-532.000;JL. MANGGA DC-4 SOLO BARU, LANGENHARJO RT.00 RW.00, LANGENHARJO, GROGOL, SUKOHARJO, JAWA TENGAH 00000;MAPS Restaurant;JL. MANGGA DC-4 SOLO BARU, LANGENHARJO RT.00 RW.00, LANGENHARJO, GROGOL, SUKOHARJO, JAWA TENGAH 00000;
A106.003;MAS DENI HS;cCustomer;MAS DENI HS;Distributor;811;110;5000000;0;0.0000.00000.00000.;SOLO BARU;MARIAM Catering SOLO;SOLO BARU;
A106.01;MEAT & GROCERIES SOLO;cCustomer;MEAT & GROCERIES SOLO;Distributor;811;110;300000;0;0.0000.00000.00000.;Jl Ahmad Yani 123 Ngemplak Solo;MAZROONEY CORNER;Jl Ahmad Yani 123 Ngemplak Solo;
A102.316;OLEH OLEH BU MARGONO;cCustomer;OLEH OLEH BU MARGONO;Distributor;811;110;5000000;14;0.0000.00000.00000.;"JL SLAMET RIYADI 
 KLECO-SOLO";OBONK KLECO;"JL SLAMET RIYADI 
 KLECO-SOLO";
A115.031;IBU FONNY;cCustomer;IBU FONNY;Distributor;811;110;15000000;0;0.0000.00000.00000.;SOLO;PAK ALBERT/BU CITRA;SOLO;
A115.006;PAK SETIAWAN;cCustomer;PAK SETIAWAN;Distributor;811;110;20000000;0;0.0000.00000.00000.;JL.SUMATRA 5 No 3A,Depan Gereja GKN Hosana Ketelat,(monumen pers ketimur gang ke 2 belok kiri);PAK FENDY;JL.SUMATRA 5 No 3A,Depan Gereja GKN Hosana Ketelat,(monumen pers ketimur gang ke 2 belok kiri);
A106.03;TOKO ATOM;cCustomer;TOKO ATOM;Distributor;811;110;1000000;30;01.705.502.1-526.000;JL. JEND.A.YANI NO.40 SURAKARTA;PT. GRAHAMULYA WIRASTAMA;JL. JEND.A.YANI NO.40 SURAKARTA;
A106.022;TOKO ASIA BARU;cCustomer;TOKO ASIA BARU;Distributor;811;110;1000000;30;01.609.790.9.526.002;THE ROYAL SURAKARTA HEARITAGE Hotel(EX. BESTWESTERN SOLO)JL. SLAMET RIYADI NO.272SOLO;PT. SUNINDO INDAH Hotel;THE ROYAL SURAKARTA HEARITAGE Hotel(EX. BESTWESTERN SOLO)JL. SLAMET RIYADI NO.272SOLO;
A102.33;SENTRAL PANGAN;cCustomer;SENTRAL PANGAN;Distributor;811;110;2000000;14;0.0000.00000.00000.;"THE PARK MALL 
 GF 26-27 
 JLN. IR. SOEKARNO, GROGOL SUKOHARJO";SCORE BAR & LOUNGE;"THE PARK MALL 
 GF 26-27 
 JLN. IR. SOEKARNO, GROGOL SUKOHARJO";
A106.02;SUMBER JADI JAYA;cCustomer;SUMBER JADI JAYA;Distributor;811;110;15000000;14;82.444.437.6-528.000;PG.COLOMADU SOLO;STREET FOOD PG.CL MADU;PG.COLOMADU SOLO;
A106.023;UD. ALASKA FOOD SERVICE;cCustomer;UD. ALASKA FOOD SERVICE;Distributor;811;110;20000000;0;0.0000.00000.00000.;JL. RONGGOWARSITO NO 164, TIMURAN , BANJARSARI, SURAKARTA.;TJANGKIR GENDHIS;JL. RONGGOWARSITO NO 164, TIMURAN , BANJARSARI, SURAKARTA.;
A102.004;UD ARGA SARI;cCustomer;UD ARGA SARI;Distributor;811;110;300000;0;0.0000.00000.00000.;Jalan Dokter Soepomo No.51, Mangkubumen, Banjarsari;TJEMAL TJEMIL;Jalan Dokter Soepomo No.51, Mangkubumen, Banjarsari;
A106.027;UD. SALIM;cCustomer;UD. SALIM;Distributor;811;110;300000;14;0.0000.00000.00000.;"THE PARK SOLO 
 JLN. IR. SOEKARNO 
 GROGOL SUKOHARJO";TOKIO BOWL;"THE PARK SOLO 
 JLN. IR. SOEKARNO 
 GROGOL SUKOHARJO";
A102.308;YUMMY BEEF;cCustomer;YUMMY BEEF;Distributor;811;110;1000000;0;0.0000.00000.00000.;JL.YOS SUDARSO NO 337 DANUKUSUMAN SERENGAN;WHEELBUZ CAFE;JL.YOS SUDARSO NO 337 DANUKUSUMAN SERENGAN;
A102.336;OBONK STEAK SOLO (FoC);cCustomer;OBONK STEAK SOLO (FoC);FC;812;113;0;7;0.0000.00000.00000.;JL. CANDISARI KM 01. SENDAGAN , MOJAYAN, KLATEN TENGAH;NYAWIJI COFFE KLATEN;JL. CANDISARI KM 01. SENDAGAN , MOJAYAN, KLATEN TENGAH;
A110.005;PERSONAL (FoC);cCustomer;PERSONAL (FoC);FC;812;113;0;14;0.0000.00000.00000.;SOLO;PATBINGSOO;SOLO;
A113.002;ALILA HOTEL SOLO (FoC);cCustomer;ALILA HOTEL SOLO (FoC);FC;812;113;1000000;30;0.0000.00000.00000.;JL.SLAMET RIYADI 562 RT 001 RW 001, JAJAR, LAWEYAN, SURAKARTA;PT. NARENDRA LENTERA ADISAKTI;JL.SLAMET RIYADI 562 RT 001 RW 001, JAJAR, LAWEYAN, SURAKARTA;
